case,path,elapsedMs,value,canonicalValue,unit
baseline,core.fissionPowerMw,73000,2708.513446825388,2708.513446825388,MW
baseline,core.fissionPowerMw,74000,2708.4239833218335,2708.4239833218335,MW
baseline,core.fissionPowerMw,75000,2708.3392421045473,2708.3392421045473,MW
baseline,core.fissionPowerMw,76000,2708.25897009081,2708.25897009081,MW
baseline,core.fissionPowerMw,77000,2708.1829283885663,2708.1829283885663,MW
baseline,core.fissionPowerMw,78000,2708.1108914293945,2708.1108914293945,MW
baseline,core.fissionPowerMw,79000,2708.0426461621905,2708.0426461621905,MW
baseline,core.fissionPowerMw,80000,2707.9779913025513,2707.9779913025513,MW
baseline,core.fissionPowerMw,81000,2707.916736633305,2707.916736633305,MW
baseline,core.fissionPowerMw,82000,2707.8587023520827,2707.8587023520827,MW
baseline,core.fissionPowerMw,83000,2707.8037184622126,2707.8037184622126,MW
baseline,core.fissionPowerMw,84000,2707.7516242035513,2707.7516242035513,MW
baseline,core.fissionPowerMw,85000,2707.702267520192,2707.702267520192,MW
baseline,core.fissionPowerMw,86000,2707.6555045622476,2707.6555045622476,MW
baseline,core.fissionPowerMw,87000,2707.6111992191786,2707.6111992191786,MW
baseline,core.fissionPowerMw,88000,2707.5692226823417,2707.5692226823417,MW
baseline,core.fissionPowerMw,89000,2707.529453034642,2707.529453034642,MW
baseline,core.fissionPowerMw,90000,2707.491774865355,2707.491774865355,MW
baseline,core.fissionPowerMw,91000,2707.4560789083494,2707.4560789083494,MW
baseline,core.fissionPowerMw,92000,2707.4222617020764,2707.4222617020764,MW
baseline,core.fissionPowerMw,93000,2707.3902252698463,2707.3902252698463,MW
baseline,core.fissionPowerMw,94000,2707.3598768190113,2707.3598768190113,MW
baseline,core.fissionPowerMw,95000,2707.331128457802,2707.331128457802,MW
baseline,core.fissionPowerMw,96000,2707.303896928641,2707.303896928641,MW
baseline,core.fissionPowerMw,97000,2707.27810335688,2707.27810335688,MW
baseline,core.fissionPowerMw,98000,2707.2536730139486,2707.2536730139486,MW
baseline,core.fissionPowerMw,99000,2707.230535094013,2707.230535094013,MW
baseline,core.fissionPowerMw,100000,2707.208622503287,2707.208622503287,MW
baseline,core.fissionPowerMw,101000,2707.187871661213,2707.187871661213,MW
baseline,core.fissionPowerMw,102000,2707.1682223127764,2707.1682223127764,MW
baseline,core.fissionPowerMw,103000,2707.1496173512805,2707.1496173512805,MW
